Id	Oral jaw shape	CV1	CV2
Acanthicus hystrix	Typical	-0.09787260998319192	-0.3038051145318726
Ancistrus brevipinnis	Typical	2.159950215650323	-1.551892038182117
Ancistrus ranunculus	Typical	0.9632910440402921	-1.2673589226000095
Aphanotorulus emarginatus	Typical	-0.04160243736247504	0.07541925058667509
Baryancistrus chrysolomus	Typical	-0.21710458156722523	0.9092717652185058
Baryancistrus demantoides	Typical	1.104209745952215	-2.135956719228881
Chaetostoma dermorhynchus	Typical	4.061994725628726	0.03959095613617908
Cordylancistrus setosus	Typical	1.2928221810349336	-1.05090999985978
Crossoloricaria variegata	reduced	-9.0344269310131	0.1556993226938667
Cteniloricaria platystoma	Typical	1.9347223476254276	-0.5880395834903376
Dekeyseria scaphirhynchus	Typical	0.1070732662636027	-1.0839068614880405
Farlowella acus	Typical	2.1375992034387825	-1.7264424199236204
Harttia loricariformis	Typical	0.8303753406485392	-0.7360581987888413
Hemiancistrus medians	Typical	0.8107269189469214	-0.07107779745396695
Hemiodontichthys acipenserinus	reduced	-5.108786598604731	1.778869478266706
Hisonotus notatus	Typical	1.130052853099527	-0.7060011234616907
Hypancistrus debilittera	elongate and long at toothcup	2.178343384436078	4.293284189695235
Hypancistrus inspector	Typical	1.3664051767989476	-0.8153202683873051
Hypancistrus vandragti	elongate and long at toothcup	2.496520677981392	5.7424221315033135
Hypoptopoma psilogaster	Typical	1.02553158198001	-0.1941623797895795
Hypostomus cochliodon	Typical	0.8220983587852774	-2.398321195980519
Hypostomus commersoni	Typical	3.945159237153701	-0.29331325949171416
Hypostomus laplatae	Typical	0.6236429909236334	-1.5122473564838397
Hypostomus plecostomus	Typical	1.6451111939729364	-0.49171416480345914
Hypostomus regani	Typical	1.0468719953170706	-2.1466250981145865
Hypostomus watwata	Typical	1.2762736173173066	-2.1193378973445496
Isorineloricaria spinosissima	Typical	0.7600530573038796	-3.4084589676958092
Lamontichthys filamentosus	Typical	-0.3608416198840103	-0.45442387917517335
Lasiancistrus mayoloi	Typical	1.9637457876488713	-1.4079300270011745
Leporacanthicus heterodon	elongate and long at toothcup	3.5672052676863677	2.4266005289271586
Limatulichthys griseus	reduced	-8.983476121299164	0.48094534396314065
Lithogenes villosus	elongate and long at toothcup	0.7538604477654678	4.138167529469645
Lithoxus lithoides	elongate and long at toothcup	0.6293079738296746	4.505887814746525
Loricaria cataphracta	reduced	-8.301519956453063	-0.7299397077630491
Loricariichthys maculatus	Typical	0.5156690292322101	0.3809970897334256
Neoplecostomus granosus	Typical	1.7248522467148502	-0.4095053887129032
Niobichthys ferrarisi	Typical	0.8910174497036711	-0.410167038151951
Otocinclus vittatus	Typical	1.5016470269370565	-1.0603667821457945
Otothyris sp.	Typical	0.9133347192562455	-0.4728543601615287
Oxyropsis carinata	Typical	1.7401611300457875	-1.1224565428860749
Panaqolus maccus	Typical	0.6287994239263123	-1.5032277206873028
Panaque armbrusteri	Typical	-0.6017753252737719	2.475781806372514
Parancistrus aurantiacus	Typical	1.213741994379117	-0.7808990145594952
Pareiorhaphis cameroni	Typical	0.7305697274116509	-0.2703272110823005
Parotocinclus jumbo	Typical	0.6974440639285147	-0.524764060156997
Peckoltia braueri	Typical	0.1406988507518525	-2.4231113368822133
Peckoltia sabaji	Typical	1.4773252088408046	-0.3248161892576833
Planiloricaria cryptodon	reduced	-9.19444915811918	-0.34713556751852415
Pseudacanthicus pirarara	Typical	1.5035110573589663	1.0307369305980911
Pseudancistrus barbatus	Typical	1.0208975576690857	-1.1568224442507422
Pseudohemiodon apithanos	reduced	-8.876270843682505	1.1234855736368154
Pseudoloricaria laeviuscula	reduced	-8.248767077208903	1.1020202776376353
Pseudorinelepis genibarbis	Typical	1.676969013777895	-0.26634305897607
Pterygoplichthys gibbiceps	Typical	1.134657876609094	-1.07869270278814
Rhinelepis strigosa	Typical	-0.012547374382084309	-0.5049002822538169
Rhinotocinclus eppleyi	Typical	0.6543444704966348	-0.1507613933267009
Rineloricaria lanceolata	reduced	-8.140380378073754	-0.9309121234406698
Scobinancistrus aureatus	elongate and long at toothcup	2.7442827325309973	4.064858253197865
Spatuloricaria evansii	elongate and long at toothcup	0.08736654478806505	3.032937004323178
Spectracanthicus murinus	elongate and long at toothcup	2.1085940821515505	5.500204834868557
Spectracanthicus zuanoni	Typical	1.553042891787135	-0.182178490497234
Sturisoma robustum	Typical	1.3836710470458964	-0.9016034730880982
Sturisomatichthys tamanae	Typical	0.5442742763339481	-1.2420919197101636
